ship_type,route_type,distance_nm,speed_knots,draft_m,cargo_weight_tonnes,weather_impact_index,fuel_consumption_tonnes,co2_emissions_tonnes
Bulk Carrier,Asia-Europe,8184.08,10.53,12.26,94294.84,0.6,194889.8,606886.84
Bulk Carrier,Trans-Pacific,5140.81,12.62,12.19,92796.67,0.0,147613.17,459667.41
Container Ship,Trans-Pacific,6165.75,21.17,10.48,58939.69,0.0,337304.0,1050364.66
Ro-Ro Cargo,Intra-Asia,965.86,18.61,8.3,29275.12,0.0,30715.94,95649.45
Oil Tanker,Indian Ocean,3884.38,13.48,9.18,39596.24,0.0,68366.88,212894.47
Oil Tanker,Trans-Pacific,3967.12,13.51,11.66,81257.09,0.8,140400.48,437207.11
Oil Tanker,North Atlantic,10182.2,13.14,12.99,112167.59,0.2,361147.77,1124614.16
Ro-Ro Cargo,Intra-Asia,9469.55,14.05,8.97,36973.3,0.2,212640.83,662163.55
General Cargo,Indian Ocean,4551.48,13.13,8.09,27158.55,0.0,76212.08,237324.43
General Cargo,Trans-Pacific,8923.23,10.08,8.28,29031.02,0.6,108497.49,337861.2
Container Ship,Asia-Europe,6544.16,12.74,13.22,118313.61,0.0,206138.56,641915.49
Container Ship,Indian Ocean,11937.43,17.29,14.32,150432.68,0.0,813327.46,2532701.72
Container Ship,Indian Ocean,10109.0,14.87,12.27,94507.34,0.4,418300.31,1302587.18
Oil Tanker,Trans-Pacific,7003.91,12.67,15.11,176607.77,0.2,312831.57,974157.51
Oil Tanker,Trans-Pacific,1632.0,11.9,15.23,181001.73,0.6,72705.72,226405.61
Oil Tanker,Asia-Europe,11021.69,14.17,10.77,63995.79,0.0,295315.38,919612.08
General Cargo,Trans-Pacific,4176.0,10.14,7.14,18629.94,0.4,36287.94,113000.64
Ro-Ro Cargo,North Atlantic,2624.21,16.4,8.34,29722.85,0.0,65457.26,203833.91
Ro-Ro Cargo,Intra-Asia,4203.93,14.84,6.83,16310.41,0.2,61035.13,190063.41
Ro-Ro Cargo,North Atlantic,9476.0,19.48,8.15,27682.68,0.4,356219.81,1109268.49
Oil Tanker,Trans-Pacific,1783.2,13.75,16.09,213348.18,0.0,100338.2,312453.14
Bulk Carrier,Asia-Europe,9757.67,10.17,9.42,42787.94,0.0,108472.74,337784.11
Container Ship,Asia-Europe,8952.3,19.25,14.53,156961.41,0.0,777577.85,2421377.41
Oil Tanker,Asia-Europe,2311.26,14.31,14.62,159964.7,0.2,123276.99,383884.54
Ro-Ro Cargo,Trans-Pacific,8861.7,16.53,7.24,19465.26,0.0,169334.76,527308.44
Ro-Ro Cargo,Indian Ocean,4976.56,19.36,7.16,18816.19,0.0,127616.76,397398.58
Ro-Ro Cargo,North Atlantic,9816.44,15.89,7.27,19665.45,0.0,174539.97,543517.45
General Cargo,Intra-Asia,7135.03,10.98,8.4,30339.38,0.0,89955.0,280119.87
Bulk Carrier,Intra-Asia,4210.86,12.04,11.52,78222.64,0.2,103953.58,323711.44
Bulk Carrier,North Atlantic,2708.39,14.71,10.35,56724.77,0.2,80619.63,251049.51
Bulk Carrier,North Atlantic,9741.8,14.65,13.12,115593.02,0.2,462379.14,1439848.64
Container Ship,Asia-Europe,5030.75,19.29,13.34,121410.31,0.0,369962.45,1152063.05
Container Ship,Intra-Asia,8404.78,19.74,13.4,123261.45,0.0,653973.76,2036474.3
Oil Tanker,Indian Ocean,5739.59,14.09,15.48,190022.04,0.2,333013.29,1037003.37
Ro-Ro Cargo,North Atlantic,8414.68,19.01,9.09,38462.31,0.2,355321.36,1106470.72
Container Ship,Indian Ocean,6925.39,20.16,13.17,117078.36,0.2,575256.97,1791350.21
General Cargo,Intra-Asia,1741.13,13.91,6.16,11968.89,0.6,22351.5,69602.58
Bulk Carrier,Asia-Europe,5514.56,14.35,11.33,74434.61,0.2,187227.77,583027.27
Container Ship,Asia-Europe,1861.07,13.94,11.99,88277.14,0.4,64704.1,201488.55
Container Ship,Asia-Europe,1536.31,22.97,13.25,119133.48,0.4,177180.83,551741.09
Oil Tanker,Indian Ocean,10522.78,12.09,14.89,169060.1,0.0,392037.57,1220804.98
Oil Tanker,Intra-Asia,6989.46,12.53,13.97,139668.9,0.0,246166.82,766563.49
Bulk Carrier,Trans-Pacific,6944.05,11.47,9.99,51024.92,0.0,110394.03,343767.02
General Cargo,Asia-Europe,8577.8,12.31,6.98,17402.52,0.2,99391.46,309505.0
General Cargo,Trans-Pacific,5745.46,11.03,8.5,31425.69,0.0,74754.67,232786.03
General Cargo,North Atlantic,6442.46,13.81,7.51,21711.68,0.4,115113.54,358463.57
Bulk Carrier,North Atlantic,3865.0,15.98,12.69,104617.41,0.0,192709.41,600097.1
General Cargo,Trans-Pacific,8975.46,12.97,8.13,27483.51,0.0,147680.18,459876.08
General Cargo,Intra-Asia,10363.09,11.46,8.4,30328.8,0.0,142179.16,442745.91
General Cargo,Indian Ocean,10114.91,12.64,5.91,10565.25,0.4,93643.21,291604.96
Container Ship,Asia-Europe,5903.22,16.06,10.8,64540.52,0.0,197307.48,614415.48
Bulk Carrier,North Atlantic,10321.19,13.75,12.26,94427.7,0.4,398408.8,1240645.01
General Cargo,Intra-Asia,1673.86,10.14,6.94,17093.29,0.2,13003.81,40493.88
Container Ship,Trans-Pacific,9864.46,22.93,12.25,94130.71,0.2,916796.93,2854905.64
Ro-Ro Cargo,Asia-Europe,2666.23,14.75,7.44,21058.95,0.0,42766.71,133175.52
General Cargo,Intra-Asia,8750.14,10.89,8.13,27469.53,0.6,119789.16,373023.45
Ro-Ro Cargo,Indian Ocean,4247.74,16.77,8.66,33280.93,0.0,119467.39,372021.45
Oil Tanker,Asia-Europe,3381.69,13.2,14.8,165929.94,0.0,148374.79,462039.08
General Cargo,Trans-Pacific,8770.55,13.57,8.47,31061.7,0.2,181811.08,566159.7
Ro-Ro Cargo,Trans-Pacific,8430.49,17.21,7.77,23999.96,0.2,212972.14,663195.25
Ro-Ro Cargo,Trans-Pacific,4213.36,17.97,8.7,33671.11,0.0,137126.4,427011.61
Ro-Ro Cargo,North Atlantic,860.66,17.58,8.65,33085.71,0.0,26495.64,82507.41
Container Ship,Trans-Pacific,9521.81,22.01,9.76,47556.57,0.0,487898.45,1519315.78
Bulk Carrier,Intra-Asia,4069.58,13.85,12.61,102558.26,0.2,159268.12,495960.91
Container Ship,North Atlantic,10953.28,16.82,13.25,119138.81,0.2,641003.54,1996085.02
Container Ship,Asia-Europe,10320.41,21.85,14.47,155201.43,0.0,1146208.3,3569292.64
General Cargo,North Atlantic,10337.19,11.08,6.62,14855.04,0.0,82451.65,256754.44
Container Ship,Intra-Asia,3166.39,14.4,11.25,72869.78,0.4,103361.16,321866.64
Oil Tanker,Trans-Pacific,1810.37,12.63,13.33,121299.14,0.2,62544.89,194764.79
Container Ship,Asia-Europe,500.61,20.74,13.52,126507.19,0.8,54232.55,168880.16
Ro-Ro Cargo,North Atlantic,9812.57,19.6,6.86,16500.59,0.4,264694.07,824257.35
Ro-Ro Cargo,Indian Ocean,6314.24,14.92,8.66,33208.72,0.0,140394.63,437188.87
Oil Tanker,North Atlantic,8559.41,11.65,13.14,116107.8,0.6,271869.39,846601.27
Ro-Ro Cargo,North Atlantic,9656.14,17.33,7.74,23730.72,0.0,231558.09,721071.89
Oil Tanker,Intra-Asia,10974.14,13.15,12.52,100518.66,0.4,382887.98,1192313.17
Ro-Ro Cargo,North Atlantic,6619.36,17.54,7.18,18976.97,0.0,140034.15,436066.33
Oil Tanker,Asia-Europe,5656.22,13.08,13.86,136301.06,0.0,213761.16,665652.26
Bulk Carrier,North Atlantic,3070.57,14.54,8.68,33459.58,0.0,59294.27,184642.36
Ro-Ro Cargo,Intra-Asia,8434.59,16.98,7.21,19216.97,0.0,168662.09,525213.76
Oil Tanker,Intra-Asia,3225.27,11.56,13.94,138807.58,0.0,96265.93,299772.12
General Cargo,Indian Ocean,986.85,11.23,6.3,12785.14,0.2,7750.85,24136.16
General Cargo,Asia-Europe,3285.25,11.31,8.03,26499.55,0.0,40125.17,124949.79
Ro-Ro Cargo,Asia-Europe,8404.98,17.04,8.42,30520.12,0.2,244349.86,760905.47
Oil Tanker,Trans-Pacific,2179.19,12.12,12.23,93659.67,0.0,55039.63,171393.41
General Cargo,Indian Ocean,1381.02,10.9,8.0,26201.81,0.4,17417.24,54237.28
Ro-Ro Cargo,Indian Ocean,11961.73,15.67,8.94,36629.51,0.6,369520.52,1150686.91
General Cargo,Indian Ocean,10232.66,10.35,7.91,25316.28,0.4,113783.77,354322.67
Ro-Ro Cargo,Trans-Pacific,9644.99,17.76,8.46,30955.43,0.8,359588.94,1119759.95
Container Ship,North Atlantic,10875.82,23.38,12.82,107808.85,0.6,1280990.76,3989005.24
Ro-Ro Cargo,Intra-Asia,6193.14,15.59,7.21,19151.83,0.4,116706.45,363423.88
Bulk Carrier,Intra-Asia,5068.28,15.28,11.17,71378.96,0.0,179094.35,557699.8
Oil Tanker,Asia-Europe,7424.94,14.62,14.23,147441.18,0.0,369070.07,1149284.19
Oil Tanker,Intra-Asia,7586.5,12.0,12.75,106015.95,0.0,203977.86,635187.05
Bulk Carrier,Trans-Pacific,11739.74,10.45,11.01,68386.73,0.4,210922.6,656812.98
Container Ship,Indian Ocean,4944.68,20.6,12.2,92944.13,0.0,346871.22,1080156.97
General Cargo,North Atlantic,4454.32,12.78,7.56,22165.55,0.2,65392.06,203630.89
Container Ship,Asia-Europe,3388.32,16.59,12.36,96654.01,0.2,167866.68,522736.83
Container Ship,Asia-Europe,1792.4,22.28,13.21,118143.73,0.0,172559.59,537350.57
Bulk Carrier,Trans-Pacific,10108.09,14.73,8.51,31511.24,0.0,192312.95,598862.52
Container Ship,Indian Ocean,6786.81,13.36,10.7,62634.46,0.4,172474.98,537087.09
Ro-Ro Cargo,Indian Ocean,9764.18,17.19,8.56,32165.25,0.4,315975.74,983948.44
Bulk Carrier,North Atlantic,1368.88,15.24,8.26,28806.19,0.0,26270.02,81804.83
Oil Tanker,North Atlantic,3926.77,14.51,13.18,117165.17,0.0,164912.07,513536.2
Container Ship,North Atlantic,6651.04,16.51,12.88,109369.01,0.6,394310.95,1227884.29
General Cargo,Asia-Europe,11414.79,12.2,7.2,19091.37,0.8,161599.47,503220.75
Oil Tanker,Indian Ocean,9288.81,12.15,14.74,163823.67,0.2,362503.88,1128837.1
Oil Tanker,Trans-Pacific,6938.77,12.18,15.06,174880.9,0.0,268177.17,835103.72
Container Ship,Indian Ocean,6650.21,14.79,12.02,88860.85,0.0,233343.95,726633.06
Container Ship,Intra-Asia,1182.05,12.63,13.44,124205.64,0.0,37835.46,117819.63
General Cargo,Intra-Asia,6567.68,11.06,7.59,22356.38,0.2,72581.33,226018.26
Bulk Carrier,North Atlantic,11414.42,12.41,11.6,79967.85,0.4,321257.01,1000394.33
General Cargo,North Atlantic,10029.67,11.73,8.2,28261.03,0.4,154067.72,479766.89
Container Ship,Indian Ocean,3525.3,23.99,13.26,119398.38,0.2,420354.5,1308983.9
Ro-Ro Cargo,Indian Ocean,2468.62,18.29,6.79,16028.99,0.0,50774.55,158111.95
General Cargo,Indian Ocean,8734.73,13.88,5.62,9069.68,0.0,78659.15,244944.6
Container Ship,Indian Ocean,2183.29,19.51,12.24,93825.11,0.0,138346.88,430812.2
General Cargo,Trans-Pacific,10519.63,11.52,6.51,14150.12,0.2,93030.69,289697.57
Bulk Carrier,Asia-Europe,5635.92,12.69,11.96,87531.91,0.0,157273.41,489749.39
Container Ship,Intra-Asia,3747.57,20.66,13.5,125867.54,0.4,362551.11,1128984.15
Container Ship,North Atlantic,9874.57,23.02,10.82,64838.36,0.8,843760.8,2627471.13
Container Ship,Trans-Pacific,1790.77,13.27,11.29,73592.48,0.0,44635.28,138994.27
Container Ship,Indian Ocean,7673.16,22.79,13.87,136518.44,0.0,851542.72,2651704.02
General Cargo,Indian Ocean,999.07,12.01,6.89,16719.79,0.0,10116.23,31501.93
Oil Tanker,Intra-Asia,2912.42,13.34,14.34,150944.45,0.0,122401.93,381159.62
General Cargo,Trans-Pacific,11774.77,13.8,5.86,10281.12,0.2,120788.96,376136.82
Container Ship,Trans-Pacific,6762.11,13.92,11.34,74585.44,0.2,198416.66,617869.48
Container Ship,Asia-Europe,5898.5,14.27,13.09,114852.66,0.4,256076.7,797422.84
Ro-Ro Cargo,Intra-Asia,11299.75,17.66,8.01,26314.83,0.2,319667.25,995443.8
Bulk Carrier,Asia-Europe,1586.32,15.34,11.0,68225.76,0.8,67984.13,211702.59
Bulk Carrier,Asia-Europe,4676.02,15.6,8.51,31514.35,0.4,111791.57,348118.95
Oil Tanker,Intra-Asia,7429.05,13.68,14.55,157656.05,0.0,338369.93,1053683.95
Oil Tanker,Indian Ocean,9545.25,12.16,11.4,75760.4,0.0,210701.51,656124.51
General Cargo,Asia-Europe,5907.86,10.13,6.08,11495.09,0.8,41170.29,128204.28
Oil Tanker,Asia-Europe,11224.25,12.24,12.59,102292.68,0.0,306604.26,954765.65
Bulk Carrier,Indian Ocean,9542.37,13.04,9.95,50412.26,0.6,229795.2,715582.24
Container Ship,Asia-Europe,4860.35,18.41,13.39,122884.12,0.0,328048.32,1021542.48
Bulk Carrier,North Atlantic,9984.32,12.98,12.89,109535.56,0.0,338381.66,1053720.49
Bulk Carrier,Asia-Europe,4553.01,14.12,9.49,43818.74,0.4,111152.55,346129.05
Bulk Carrier,North Atlantic,5162.15,15.72,9.14,39038.15,0.0,129009.18,401734.6
General Cargo,Indian Ocean,1287.78,11.68,6.11,11682.02,0.2,10309.4,32103.47
General Cargo,Intra-Asia,8998.41,10.51,7.34,20245.11,0.0,79350.52,247097.51
Bulk Carrier,Indian Ocean,2654.53,10.33,8.38,30182.89,0.6,28485.85,88704.95
General Cargo,Indian Ocean,4620.33,11.96,6.41,13468.24,0.4,45027.15,140214.56
Oil Tanker,Intra-Asia,10380.67,11.61,11.73,82719.29,0.0,221454.32,689608.77
Ro-Ro Cargo,Trans-Pacific,10278.08,19.83,8.4,30383.45,0.4,426278.22,1327430.38
Container Ship,Asia-Europe,3705.69,17.08,14.33,150572.04,0.0,246468.49,767502.88
General Cargo,Asia-Europe,9734.11,12.25,6.96,17289.62,0.0,104949.81,326813.72
Oil Tanker,Trans-Pacific,10200.01,14.83,16.71,238861.36,0.2,762726.99,2375131.84
Oil Tanker,Trans-Pacific,9709.31,12.1,16.31,221989.89,0.6,512850.14,1597015.33
Oil Tanker,Trans-Pacific,2721.31,14.17,15.72,199035.69,0.2,164518.58,512310.86
Ro-Ro Cargo,Intra-Asia,5288.02,14.97,8.57,32251.2,0.4,130099.43,405129.63
General Cargo,Trans-Pacific,2361.8,11.15,6.3,12814.79,0.0,17274.17,53791.77
General Cargo,North Atlantic,10874.41,11.49,8.38,30122.94,0.6,176322.5,549068.25
Bulk Carrier,Asia-Europe,10509.55,12.4,9.92,49962.83,0.0,192770.76,600288.16
Bulk Carrier,North Atlantic,8621.67,11.32,8.23,28561.7,0.4,101562.52,316265.68
General Cargo,Trans-Pacific,5378.83,12.6,7.82,24456.97,0.0,77283.07,240659.47
Ro-Ro Cargo,Asia-Europe,4282.58,17.04,7.08,18200.03,0.2,88236.08,274767.17
Ro-Ro Cargo,Trans-Pacific,6870.33,18.92,7.98,26016.81,0.0,208790.95,650175.03
Oil Tanker,Trans-Pacific,1758.1,12.1,8.73,34094.8,0.2,23912.18,74462.54
General Cargo,Asia-Europe,6514.29,13.6,6.33,12965.99,0.0,71459.19,222523.91
Container Ship,Indian Ocean,8226.76,18.08,10.77,63962.25,0.6,408817.75,1273058.46
Container Ship,Asia-Europe,2120.4,18.0,14.11,143807.5,0.0,151954.62,473186.68
Bulk Carrier,Indian Ocean,2973.48,12.99,11.11,70148.55,0.0,75059.02,233733.79
Container Ship,Intra-Asia,5816.78,21.24,13.51,126215.22,0.4,595989.41,1855911.03
General Cargo,Indian Ocean,2851.56,13.28,8.48,31188.27,0.0,53570.5,166818.54
Ro-Ro Cargo,North Atlantic,5901.02,18.49,7.36,20428.11,0.4,163260.76,508394.01
Bulk Carrier,Indian Ocean,7652.57,13.06,12.23,93752.23,0.0,236812.63,737434.54
Ro-Ro Cargo,Intra-Asia,3551.75,18.1,9.45,43260.42,0.2,147047.38,457905.53
Container Ship,Indian Ocean,1724.54,16.14,14.37,151933.49,0.0,103104.21,321066.51
Oil Tanker,Asia-Europe,3291.22,12.08,11.51,78102.64,0.8,90679.83,282376.98
Container Ship,Trans-Pacific,8846.37,12.02,14.39,152711.23,0.2,312081.41,971821.5
Oil Tanker,North Atlantic,9250.25,13.54,11.44,76627.76,0.8,316078.47,984268.36
Bulk Carrier,Trans-Pacific,2629.89,11.63,12.62,102973.08,0.2,72796.91,226689.59
Ro-Ro Cargo,Trans-Pacific,4700.31,17.69,8.25,28771.5,0.0,133587.91,415992.74
Ro-Ro Cargo,North Atlantic,9336.6,17.25,9.65,46012.38,0.0,345131.52,1074739.55
Container Ship,Intra-Asia,6450.11,15.03,9.39,42401.41,0.0,142855.15,444850.94
Container Ship,North Atlantic,11146.14,18.88,12.57,101683.7,0.2,739170.49,2301776.9
Ro-Ro Cargo,Asia-Europe,11672.07,18.66,7.72,23581.63,0.0,323078.04,1006065.0
Ro-Ro Cargo,Trans-Pacific,3449.61,15.83,8.34,29734.1,0.2,85029.77,264782.71
Oil Tanker,Trans-Pacific,868.72,13.65,11.89,85986.87,0.0,26269.38,81802.86
General Cargo,Indian Ocean,5794.44,12.38,7.85,24723.09,0.0,81032.64,252335.65
General Cargo,Indian Ocean,2781.72,12.71,7.98,26030.55,0.0,42434.63,132141.44
Oil Tanker,Indian Ocean,9368.06,13.15,13.68,130946.45,0.2,368925.63,1148834.42
Container Ship,Asia-Europe,1075.26,23.0,13.0,112435.85,0.0,106750.73,332421.76
Oil Tanker,Indian Ocean,9968.5,12.63,15.64,195748.06,0.2,474077.44,1476277.14
Container Ship,Indian Ocean,7664.19,13.02,13.91,137824.77,0.0,279211.47,869464.53
Container Ship,Intra-Asia,7100.56,12.67,14.52,156747.33,0.6,315034.53,981017.54
Bulk Carrier,Asia-Europe,2281.83,11.99,11.5,77811.78,0.4,58890.66,183385.5
Container Ship,Intra-Asia,8876.44,23.74,13.28,119861.13,0.2,1038801.29,3234827.23
General Cargo,Trans-Pacific,2860.63,13.07,6.63,14915.0,0.4,35651.75,111019.56
Ro-Ro Cargo,Trans-Pacific,4780.82,14.35,7.17,18845.74,0.4,75497.37,235098.8
Container Ship,North Atlantic,11590.48,18.75,13.94,138672.97,0.0,879907.04,2740030.53
General Cargo,Intra-Asia,2616.47,13.22,8.31,29390.78,0.0,46760.18,145611.21
Ro-Ro Cargo,Intra-Asia,8767.43,18.87,7.15,18696.66,0.4,238207.85,741779.25
Bulk Carrier,Asia-Europe,10415.41,11.32,11.56,79034.56,0.4,242071.5,753810.66
Oil Tanker,Asia-Europe,4450.61,14.72,13.19,117540.5,0.8,239186.13,744825.62
Ro-Ro Cargo,North Atlantic,4273.69,14.18,7.48,21392.47,0.6,75589.14,235384.59
Container Ship,Trans-Pacific,11400.12,15.17,10.42,57980.58,0.0,316595.83,985879.43
General Cargo,North Atlantic,7562.04,12.42,8.26,28877.74,0.2,125044.16,389387.52
Ro-Ro Cargo,Asia-Europe,9428.64,18.12,8.95,36709.37,0.0,330703.28,1029810.01
Container Ship,Trans-Pacific,11455.65,22.78,14.55,157789.48,0.0,1398525.1,4355007.15
Container Ship,Intra-Asia,9116.0,22.49,13.33,121255.3,0.6,1074484.2,3345943.81
Ro-Ro Cargo,Trans-Pacific,5415.2,14.55,7.13,18524.86,0.0,77593.16,241625.09
Ro-Ro Cargo,Trans-Pacific,11173.22,17.41,8.46,31049.09,0.2,343124.02,1068488.2
Ro-Ro Cargo,Intra-Asia,4162.4,16.66,9.32,41508.96,0.4,149950.25,466945.09
Container Ship,Trans-Pacific,7062.93,19.06,11.0,68083.38,0.0,344641.22,1073212.77
Ro-Ro Cargo,Intra-Asia,1760.72,18.29,8.73,34094.6,0.4,67096.02,208937.02
Bulk Carrier,Intra-Asia,11505.41,15.86,8.4,30396.29,0.0,247682.41,771283.03
Ro-Ro Cargo,North Atlantic,5016.15,16.34,8.46,31043.07,0.2,135574.25,422178.21
Ro-Ro Cargo,North Atlantic,5547.45,17.99,8.77,34543.81,0.8,228360.8,711115.53
Container Ship,Asia-Europe,6078.33,23.37,12.9,110012.28,0.6,725026.0,2257730.97
Container Ship,Indian Ocean,5507.85,20.5,10.41,57689.53,0.0,278429.91,867030.74
Bulk Carrier,Asia-Europe,5981.18,13.64,9.28,40910.78,0.6,137125.4,427008.49
Container Ship,Asia-Europe,9274.15,12.65,11.8,84222.12,0.4,257260.12,801108.01
Oil Tanker,Intra-Asia,5293.6,13.5,9.11,38690.38,0.2,97496.75,303604.86
General Cargo,Indian Ocean,9116.22,12.42,8.48,31185.35,0.6,176538.96,549742.31
Bulk Carrier,Asia-Europe,3709.48,14.21,8.11,27292.0,0.2,63305.72,197134.01
General Cargo,Indian Ocean,10793.72,13.51,8.52,31636.92,0.2,224484.14,699043.62
Oil Tanker,Intra-Asia,6971.18,12.17,16.2,217878.92,0.0,311447.26,969846.75
Container Ship,North Atlantic,6918.54,14.7,10.36,56892.45,0.4,199560.59,621431.69
General Cargo,Indian Ocean,11829.88,13.03,5.39,8022.63,0.4,96840.06,301559.94
Oil Tanker,Intra-Asia,6536.74,12.64,16.26,219983.59,0.0,317230.24,987854.97
Bulk Carrier,Trans-Pacific,8869.29,13.22,12.97,111816.37,0.0,316341.2,985086.49
Oil Tanker,Trans-Pacific,8333.91,13.62,10.71,62811.86,0.4,227920.92,709745.76
Oil Tanker,Indian Ocean,9784.77,14.75,16.21,217963.36,0.2,680859.46,2120196.36
Oil Tanker,Asia-Europe,5584.77,11.81,12.02,89020.32,0.0,129472.73,403178.09
Bulk Carrier,Asia-Europe,8041.66,13.34,11.63,80489.62,0.0,234582.02,730488.4
Bulk Carrier,Indian Ocean,7977.88,10.65,8.37,30057.09,0.0,76857.08,239332.94
Ro-Ro Cargo,Asia-Europe,4902.48,18.97,9.44,43104.39,0.2,222252.61,692094.63
Container Ship,Intra-Asia,11679.1,14.02,11.04,68944.81,0.2,329594.83,1026358.31
Container Ship,North Atlantic,4422.68,17.79,10.85,65354.2,0.2,193987.26,604076.33
Oil Tanker,North Atlantic,6894.6,12.85,14.73,163728.93,0.0,284029.81,884468.83
Container Ship,Intra-Asia,1679.15,14.06,10.01,51309.17,0.2,39152.52,121920.94
Ro-Ro Cargo,Intra-Asia,10742.67,15.5,6.88,16656.35,0.4,182219.81,567432.5
Bulk Carrier,Asia-Europe,8341.08,13.6,12.72,105291.17,0.8,375231.48,1168470.82
Ro-Ro Cargo,Trans-Pacific,7690.0,16.92,7.3,19945.79,0.4,175335.54,545994.86
General Cargo,Indian Ocean,5072.31,13.7,7.22,19263.27,0.2,77898.03,242574.45
Bulk Carrier,Intra-Asia,5000.85,15.15,11.3,73850.89,0.6,209518.78,652441.48
Ro-Ro Cargo,North Atlantic,3463.06,17.23,8.52,31677.82,0.0,99561.59,310034.78
Container Ship,North Atlantic,9820.4,17.46,10.29,55734.55,0.4,394439.33,1228284.07
Oil Tanker,Asia-Europe,5152.97,13.7,9.13,38999.27,0.0,92688.61,288632.34
Bulk Carrier,North Atlantic,5969.64,11.36,7.98,26034.46,0.0,59540.76,185409.93
General Cargo,Trans-Pacific,5897.22,12.76,7.43,21011.3,0.0,78535.78,244560.41
Oil Tanker,Indian Ocean,3380.1,13.15,13.19,117471.69,0.6,137997.76,429725.04
Oil Tanker,Trans-Pacific,2461.44,14.5,15.97,208619.51,0.0,151725.53,472473.3
General Cargo,North Atlantic,10719.39,10.07,6.68,15229.42,0.0,71818.58,223643.07
Ro-Ro Cargo,North Atlantic,2816.81,18.58,9.13,38957.9,0.0,108014.06,336355.79
Oil Tanker,Asia-Europe,4196.82,12.22,10.98,67796.77,0.0,86887.79,270568.59
Oil Tanker,Asia-Europe,5998.12,13.91,14.8,166069.14,0.2,309990.24,965309.59
Bulk Carrier,Indian Ocean,8552.47,15.86,12.88,109519.37,0.2,458816.51,1428754.62
Container Ship,Intra-Asia,3753.9,15.5,13.45,124645.67,0.0,181321.06,564633.77
General Cargo,Trans-Pacific,5939.28,12.52,8.26,28831.15,0.2,99756.65,310642.22
General Cargo,North Atlantic,4902.13,11.52,7.05,17977.62,0.2,50834.18,158297.63
Oil Tanker,Asia-Europe,9390.54,13.32,15.7,198312.36,0.0,472492.0,1471340.09
Container Ship,Indian Ocean,2961.08,18.55,11.25,72948.68,0.0,143398.03,446541.47
Oil Tanker,Intra-Asia,2340.85,14.87,11.95,87474.31,0.4,95202.44,296460.41
Container Ship,Trans-Pacific,3408.49,20.39,9.39,42388.18,0.0,138802.97,432232.46
Bulk Carrier,North Atlantic,7260.69,10.07,13.05,113780.91,0.2,161116.14,501715.66
Oil Tanker,North Atlantic,6416.52,12.22,12.0,88381.1,0.4,177413.14,552464.51
Ro-Ro Cargo,Indian Ocean,5076.46,16.83,6.97,17343.13,0.0,93123.39,289986.24
Oil Tanker,Trans-Pacific,1519.28,14.92,13.35,121925.45,0.6,81767.81,254624.96
Oil Tanker,Trans-Pacific,4645.32,14.32,14.67,161738.39,0.0,235752.35,734132.81
Bulk Carrier,Asia-Europe,10032.69,15.55,10.54,59974.18,0.0,326887.27,1017926.95
General Cargo,North Atlantic,8179.44,13.82,6.15,11936.74,0.0,87695.31,273083.2
General Cargo,Asia-Europe,9940.46,11.42,7.53,21849.0,0.4,121841.66,379414.92
Ro-Ro Cargo,North Atlantic,8992.57,15.51,7.42,20939.58,0.4,177896.48,553969.64
Bulk Carrier,Intra-Asia,10942.4,14.35,9.84,48824.09,0.0,264433.49,823445.88
Bulk Carrier,Intra-Asia,10996.06,11.79,10.78,64069.16,0.0,214972.28,669423.69
Oil Tanker,Intra-Asia,1423.87,13.22,13.31,120838.17,0.4,56777.4,176804.82
General Cargo,Trans-Pacific,829.26,13.82,6.5,14077.89,0.0,9925.15,30906.91
Bulk Carrier,Indian Ocean,6833.55,11.8,12.58,101995.79,0.0,182726.74,569011.07
Bulk Carrier,Asia-Europe,936.29,12.0,10.42,57965.07,0.0,17757.12,55295.66
Bulk Carrier,Trans-Pacific,3798.35,14.68,13.28,119834.63,0.0,174978.88,544884.24
Container Ship,Trans-Pacific,10908.4,20.46,10.37,57047.39,0.0,545175.45,1697676.35
Bulk Carrier,Asia-Europe,3773.76,11.21,11.36,75010.64,0.4,83008.79,258489.38
Ro-Ro Cargo,Indian Ocean,8006.74,17.74,7.99,26155.33,0.4,240346.93,748440.36
Oil Tanker,Asia-Europe,524.62,14.47,16.53,231194.0,0.0,34497.17,107424.2
Ro-Ro Cargo,Asia-Europe,7472.64,17.61,8.15,27720.1,0.0,205232.75,639094.79
Container Ship,Trans-Pacific,7302.36,13.57,10.66,61950.88,0.2,179955.35,560380.95
General Cargo,Trans-Pacific,1070.68,13.18,6.46,13832.05,0.6,13591.56,42324.13
Container Ship,Intra-Asia,9989.97,12.23,11.68,81571.94,0.0,226512.43,705359.7
Ro-Ro Cargo,Intra-Asia,6217.12,15.48,8.74,34211.42,0.4,169952.71,529232.73
Ro-Ro Cargo,Asia-Europe,6311.32,18.47,7.01,17638.6,0.2,149590.23,465823.99
Ro-Ro Cargo,Trans-Pacific,7917.61,16.4,8.85,35477.9,0.0,222240.12,692055.73
Ro-Ro Cargo,Indian Ocean,2270.7,17.66,8.8,34898.87,0.4,81917.88,255092.27
General Cargo,Trans-Pacific,11286.86,11.15,6.44,13695.62,0.4,96740.52,301249.98
Ro-Ro Cargo,North Atlantic,6931.97,16.51,7.14,18631.46,0.0,128406.14,399856.72
